# pixel vinkelx vinkely
245 -0.207334 0.000331
246 -0.206973 0.000331
247 -0.206611 0.000331
248 -0.206250 0.000331
249 -0.205888 0.000331
250 -0.205527 0.000331
251 -0.205165 0.000331
252 -0.204804 0.000331
253 -0.204443 0.000331
254 -0.204082 0.000331
255 -0.203721 0.000331
256 -0.203360 0.000331
257 -0.202999 0.000331
258 -0.202638 0.000331
259 -0.202278 0.000331
260 -0.201917 0.000331
261 -0.201556 0.000331
262 -0.201196 0.000331
263 -0.200835 0.000331
264 -0.200475 0.000331
265 -0.200115 0.000331
266 -0.199754 0.000331
267 -0.199394 0.000331
268 -0.199034 0.000331
269 -0.198674 0.000331
270 -0.198314 0.000331
271 -0.197954 0.000331
272 -0.197594 0.000331
273 -0.197234 0.000331
274 -0.196875 0.000331
275 -0.196515 0.000331
276 -0.196155 0.000331
277 -0.195796 0.000331
278 -0.195437 0.000331
279 -0.195077 0.000331
280 -0.194718 0.000331
281 -0.194359 0.000331
282 -0.193999 0.000331
283 -0.193640 0.000331
284 -0.193281 0.000331
285 -0.192922 0.000331
286 -0.192563 0.000331
287 -0.192205 0.000331
288 -0.191846 0.000331
289 -0.191487 0.000331
290 -0.191128 0.000331
291 -0.190770 0.000331
292 -0.190411 0.000331
293 -0.190053 0.000331
294 -0.189695 0.000331
295 -0.189336 0.000331
296 -0.188978 0.000331
297 -0.188620 0.000331
298 -0.188262 0.000331
299 -0.187904 0.000331
300 -0.187546 0.000331
301 -0.187188 0.000331
302 -0.186830 0.000331
303 -0.186472 0.000331
304 -0.186115 0.000331
305 -0.185757 0.000331
306 -0.185399 0.000331
307 -0.185042 0.000331
308 -0.184684 0.000331
309 -0.184327 0.000331
310 -0.183970 0.000331
311 -0.183612 0.000331
312 -0.183255 0.000331
313 -0.182898 0.000331
314 -0.182541 0.000331
315 -0.182184 0.000331
316 -0.181827 0.000331
317 -0.181470 0.000331
318 -0.181114 0.000331
319 -0.180757 0.000331
320 -0.180400 0.000331
321 -0.180044 0.000331
322 -0.179687 0.000331
323 -0.179331 0.000331
324 -0.178974 0.000331
325 -0.178618 0.000331
326 -0.178262 0.000331
327 -0.177906 0.000331
328 -0.177550 0.000331
329 -0.177194 0.000331
330 -0.176838 0.000331
331 -0.176482 0.000331
332 -0.176126 0.000331
333 -0.175770 0.000331
334 -0.175414 0.000331
335 -0.175059 0.000331
336 -0.174703 0.000331
337 -0.174347 0.000331
338 -0.173992 0.000331
339 -0.173637 0.000331
340 -0.173281 0.000331
341 -0.172926 0.000331
342 -0.172571 0.000331
343 -0.172216 0.000331
344 -0.171861 0.000331
345 -0.171506 0.000331
346 -0.171151 0.000331
347 -0.170796 0.000331
348 -0.170441 0.000331
