# pixel vinkelx vinkely
250 0.087569 0.001365
251 0.088863 0.001365
252 0.090157 0.001365
253 0.091451 0.001365
254 0.092744 0.001365
255 0.094038 0.001365
256 0.095331 0.001365
257 0.096624 0.001365
258 0.097918 0.001365
259 0.099211 0.001365
260 0.100504 0.001365
261 0.101797 0.001365
262 0.103090 0.001365
263 0.104382 0.001365
264 0.105675 0.001365
265 0.106968 0.001365
266 0.108261 0.001365
267 0.109553 0.001365
268 0.110846 0.001365
269 0.112139 0.001365
270 0.113431 0.001365
271 0.114724 0.001365
272 0.116017 0.001365
273 0.117309 0.001365
274 0.118602 0.001365
275 0.119895 0.001365
276 0.121188 0.001365
277 0.122481 0.001365
278 0.123774 0.001365
279 0.125067 0.001365
280 0.126360 0.001365
281 0.127653 0.001365
282 0.128946 0.001365
283 0.130240 0.001365
284 0.131533 0.001365
285 0.132827 0.001365
286 0.134121 0.001365
287 0.135415 0.001365
288 0.136709 0.001365
289 0.138003 0.001365
290 0.139297 0.001365
291 0.140592 0.001365
292 0.141887 0.001365
293 0.143181 0.001365
294 0.144477 0.001365
295 0.145772 0.001365
296 0.147067 0.001365
297 0.148363 0.001365
298 0.149659 0.001365
299 0.150955 0.001365
300 0.152252 0.001365
301 0.153548 0.001365
302 0.154845 0.001365
303 0.156142 0.001365
304 0.157440 0.001365
305 0.158738 0.001365
306 0.160036 0.001365
307 0.161334 0.001365
308 0.162633 0.001365
309 0.163931 0.001365
310 0.165231 0.001365
311 0.166530 0.001365
312 0.167830 0.001365
313 0.169131 0.001365
314 0.170431 0.001365
315 0.171732 0.001365
316 0.173033 0.001365
317 0.174335 0.001365
318 0.175637 0.001365
319 0.176940 0.001365
320 0.178243 0.001365
321 0.179546 0.001365
322 0.180850 0.001365
323 0.182154 0.001365
324 0.183459 0.001365
325 0.184764 0.001365
326 0.186069 0.001365
327 0.187375 0.001365
328 0.188681 0.001365
329 0.189988 0.001365
330 0.191296 0.001365
331 0.192603 0.001365
332 0.193912 0.001365
333 0.195221 0.001365
334 0.196530 0.001365
335 0.197840 0.001365
336 0.199150 0.001365
337 0.200461 0.001365
338 0.201773 0.001365
339 0.203085 0.001365
340 0.204397 0.001365
341 0.205711 0.001365
342 0.207024 0.001365
343 0.208339 0.001365
344 0.209654 0.001365
345 0.210969 0.001365
346 0.212285 0.001365
347 0.213602 0.001365
348 0.214919 0.001365
349 0.216237 0.001365
350 0.217556 0.001365
351 0.218875 0.001365
352 0.220195 0.001365
353 0.221516 0.001365
354 0.222837 0.001365
355 0.224159 0.001365
356 0.225482 0.001365
357 0.226805 0.001365
